fecha,price,market_cap,volume,id
2020-10-21,0.7679148564020464,11633905.796969732,49320208.30497628,injective-protocol
2020-10-22,0.7679148564020464,11633905.796969732,49320208.30497628,injective-protocol
2020-10-23,0.7841182687339846,10541907.237269122,5840451.327274534,injective-protocol
2020-10-24,1.1885942220053434,16104041.643615395,34169649.64119549,injective-protocol
2020-10-25,0.9744149525125039,13142879.831221942,17852686.059168965,injective-protocol
2020-10-26,0.9030930643693453,12063910.879988331,9841157.411617037,injective-protocol
2020-10-27,0.8220375389460884,11023386.932532867,7358670.207093353,injective-protocol
2020-10-28,0.7819562316384698,10522875.281329848,4850906.520668092,injective-protocol
2020-10-29,0.6808623151628705,9109102.26368449,3847166.9821060193,injective-protocol
2020-10-30,0.803841077330074,10827149.458955301,8342046.507133264,injective-protocol
2020-10-31,0.7310267389171622,9824647.561404949,5061431.047373763,injective-protocol
2020-11-01,0.7850544505530218,10565743.114679523,3552073.0771303545,injective-protocol
2020-11-02,0.7455993938747956,10044036.427705398,2069990.548657882,injective-protocol
2020-11-03,0.7267279223283626,9839570.434640395,2669924.8183480813,injective-protocol
2020-11-04,0.6979969001542742,9379866.215543527,2481282.467432035,injective-protocol
2020-11-05,0.7141370961006541,9589767.69811072,2626616.7230603597,injective-protocol
2020-11-06,0.6972363729413322,9369957.70596959,7223373.078038455,injective-protocol
2020-11-07,0.7483278039610803,9970055.348611979,4402935.480235513,injective-protocol
2020-11-08,0.78612654195262,10525497.761103805,5539175.825813247,injective-protocol
2020-11-09,0.8349403049757043,11256170.699159967,4027644.8221919993,injective-protocol
2020-11-10,0.976372258377219,13154466.935542842,9000294.07038953,injective-protocol
2020-11-11,1.0067629555495146,13631448.104435924,5490092.429070908,injective-protocol
2020-11-12,0.9119624468852714,12306314.02329044,4555307.129446473,injective-protocol
2020-11-13,0.920088003565397,12507985.056031598,3671664.572740647,injective-protocol
2020-11-14,1.065244760850555,14268293.961597446,4241829.873077224,injective-protocol
2020-11-15,1.289711387047709,17395825.215792,13415717.257379672,injective-protocol
