fecha,price,market_cap,volume,id
2018-08-02,3.333704020692792,1000111206.2078376,105835520.02498017,okb
2018-08-03,3.0899553001606583,926986590.0481975,58475088.72298366,okb
2018-08-04,3.2125661171219537,963769835.1365862,422818341.16882527,okb
2018-08-05,3.2108726125124467,963261783.753734,66759679.7211377,okb
2018-08-06,3.2347735311948185,970432059.3584456,70507125.99122253,okb
2018-08-07,3.263462607415197,979038782.2245591,51579692.38401666,okb
2018-08-08,3.0387085308571917,911612559.2571574,42886137.87571946,okb
2018-08-09,2.56890858371985,770672575.115955,73361363.98095562,okb
2018-08-10,2.5887715803766933,776631474.113008,50134217.520235814,okb
2018-08-11,2.3287907689701375,698637230.6910414,71396527.44630058,okb
2018-08-12,2.228269807524938,668480942.2574815,41375661.146287665,okb
2018-08-13,2.231524826943667,669457448.0831001,28314483.348423455,okb
2018-08-14,1.9905417830591559,597162534.9177468,39925380.416565605,okb
2018-08-15,1.8812843377819077,564385301.3345723,44178144.05074449,okb
2018-08-16,1.9620596753142703,588474836.327748,48450560.57652533,okb
2018-08-17,1.948413470645314,584524041.1935942,31868123.024530046,okb
2018-08-18,2.135285088516555,640585526.5549664,95845097.28123172,okb
2018-08-19,1.9745423517665808,592362705.5299743,37086427.16474604,okb
2018-08-20,2.0767824734413733,623034742.0324119,51689383.34653814,okb
2018-08-21,1.797375214105049,539212564.2315147,39800047.24501726,okb
2018-08-22,1.861354937042462,558406481.1127386,30353729.682754494,okb
2018-08-23,1.7837100571452975,535113017.1435894,43763730.7786787,okb
2018-08-24,1.8282430639710923,548472919.1913276,24579204.027970824,okb
2018-08-25,1.8707292500250816,561218775.0075246,28314093.806738053,okb
2018-08-26,1.8212605070661292,546378152.1198387,27986870.02795161,okb
2018-08-27,1.79806619234372,539419857.703116,25908117.961370472,okb
2018-08-28,1.8828998889859672,564869966.69579,35987995.639959276,okb
2018-08-29,1.9167213077568428,575016392.327053,47584280.57412507,okb
2018-08-30,1.8853394637288465,565601839.1186541,29065313.653668948,okb
2018-08-31,1.8360565080704394,550816952.4211317,29707874.12060601,okb
2018-09-01,1.8396843534048883,551905306.0214664,22870288.068346485,okb
2018-09-02,1.8797093241316694,563912797.2395006,28887136.630870808,okb
2018-09-03,1.8697766959953575,560933008.7986071,22847022.020535737,okb
2018-09-04,1.836763367974842,551029010.3924526,17028269.031793837,okb
2018-09-05,1.8325873402204824,549818741.0538886,18512532.61468029,okb
2018-09-06,1.547183439344773,466334754.1748082,34341076.82702804,okb
2018-09-07,1.497854073315351,447206517.3483471,25488006.54472741,okb
2018-09-08,1.4441529470037655,433245884.1011298,17550253.502853654,okb
2018-09-09,1.3501316921656006,405039507.6496803,15410971.914966734,okb
2018-09-10,1.3325918638195235,399777559.1458572,16569287.1156021,okb
2018-09-11,1.334721188146054,400416356.4438162,15556966.348758867,okb
2018-09-12,1.2313140356315648,369394210.6894695,33035531.147716124,okb
2018-09-13,1.208644245058728,362593273.5176184,30262238.385307953,okb
2018-09-14,1.2405017894645496,372150536.839365,24222607.917006627,okb
2018-09-15,1.2206634016621343,366271587.5520798,18979495.746369585,okb
2018-09-16,1.3362806587354077,401082591.8679939,25364707.188755844,okb
2018-09-17,1.3286778405458546,398603352.1637565,21716841.598516,okb
2018-09-18,1.2280580869258553,368417426.0777565,23930363.35254993,okb
2018-09-19,1.324081525798134,397236853.2565188,24741972.01700904,okb
2018-09-20,1.3474934640385738,404248039.2115722,22761383.582308743,okb
2018-09-21,1.4419742820903596,432592284.627108,25835276.397399794,okb
2018-09-22,1.6364301506519634,490929045.1955889,53517006.588824436,okb
2018-09-23,1.6377556260030226,491326687.8009069,35547720.25981234,okb
2018-09-24,1.579786492121034,473935947.6363102,26616344.949908204,okb
2018-09-25,1.525426982620881,456666537.6835731,26134373.963618718,okb
2018-09-26,1.4405743337806751,432172300.1342025,35147263.77824533,okb
2018-09-27,1.4409132778531373,432273983.3559411,22115624.444754828,okb
2018-09-28,1.4976435145831155,449293054.3749348,19774491.033569403,okb
2018-09-29,1.4951742578917893,448552277.3675367,26147913.511457857,okb
2018-09-30,1.4973257578903532,449817013.521834,24287365.73480231,okb
2018-10-01,1.5087808374687255,452634251.2406175,20550936.34927964,okb
2018-10-02,1.4995360080193116,450177538.0663305,16320985.917988658,okb
2018-10-03,1.4865805203258828,445974156.0977649,14335833.700664334,okb
2018-10-04,1.473048733349914,442341455.1179133,16706155.483834404,okb
2018-10-05,1.5003363724003231,450100911.7200969,15155846.148170099,okb
2018-10-06,1.4942960607122433,448288818.2136729,14726840.998359844,okb
2018-10-07,1.4715245206688792,441419767.9993209,14121608.89725866,okb
2018-10-08,1.4630773411116418,438923202.3334926,15082667.75945995,okb
2018-10-09,1.476886988194605,443115430.0321461,15403803.30136036,okb
2018-10-10,1.4858671224906013,445760136.7471803,13954341.502977263,okb
2018-10-11,1.4662594963010829,439913436.3198411,15317476.829527104,okb
2018-10-12,1.2490222375554163,374706671.2666248,30787200.29119424,okb
2018-10-13,1.2777606233316057,383328186.9994818,15470403.393671365,okb
2018-10-14,1.2973520526437858,389205615.7931358,13224476.03287146,okb
2018-10-15,1.2700576365175185,381017290.9552554,13358997.91676027,okb
2018-10-16,1.3582209396340799,407466281.890224,33030220.319562156,okb
2018-10-17,1.3498890163399373,405020100.5331267,13902284.009736145,okb
2018-10-18,1.3531628131428777,405948843.9428634,12768328.371993117,okb
2018-10-19,1.3221481577300942,396644447.3190282,12771463.90177359,okb
2018-10-20,1.32305624518567,396916873.555701,14320142.463424833,okb
